already complexed:  909009694.xml | 11670 | Alföldi Tej Értékesítő És Beszerző Kft. | Alföldi Tej Értékesítő és Beszerző Korlátolt Felelősségű Társaság
MATCHED:     | 309101726.xml | 5431 | „GARAI” Sütőipari, Kereskedelmi Korlátolt Felelősségű Társaság | "GARAI" Sütőipari, Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109682693.xml | 4568 | Amanda Clear Kft. | Amanda Clear Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109462762.xml | 4519 | Medtronic Hungária Kft. | MEDTRONIC HUNGÁRIA Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1309136989.xml | 1313 | Museum Complex Kft. | Museum Complex Szállítmányozó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1609003194.xml | 1860 | Jász-Sütőház Kft. | JÁSZ-SÜTŐHÁZ Sütőipari Korlátolt Felelősségű Társaság
MATCHED:     | 1010020083.xml | 13485 | Egererdő Erdészeti Zrt. | EGER ERDÉSZETI RÉSZVÉNYTÁRSASÁGEGERERDŐ Erdészeti Zártkörűen Működő Részvénytársaság
MATCHED:     | 109865187.xml | 1363 | EPAP Kft | EPAP Üzletviteli Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110042354.xml | 3467 | Tóth-Ker Rt. | TÓTH-KER Kereskedelmi Részvénytársaság felszámolás alatt
MATCHED:     | 106779509.xml | 3365 | Be-De Invest Dél Bt. | BE-DE INVEST DÉL Ingatlanfejlesztési és Beruházási Betéti Társaság
MATCHED:     | 109160184.xml | 975 | Golder Kft. | GOLDER Associates Magyarország Környezetgazdálkodási és Geotechnikai Korlátolt Felelősségű Társaság
MATCHED:     | 109881809.xml | 2631 | Dasslen Informatikai Kft. | DASSLEN Informatikai és Technológiai Korlátolt Felelősségű Társaság
MATCHED:     | 109739958.xml | 2813 | Star Menü Kft. | STAR MENÜ Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109563688.xml | 2177 | Terra-Baumash Kft. | Terra-Bau Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109879635.xml | 3278 | NLGA Kft. | NLGA Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109920090.xml | 137 | HM Zrínyi Nonprofit Kft. | HM Zrínyi Kommunikációs Szolgáltató Nonprofit Közhasznú Korlátolt Felelősségű Társaság
MATCHED:     | 1609011159.xml | 4591 | Tisza-tavi Sporthorgász Közhasznú Nonprofit Kft. | Tisza-tavi Sporthorgász, Halászati Természetvédelmi és Környezetvédelmi Közhasznú Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 609016045.xml | 4524 | Unibau-Épszer Kft. | UNIBAU-ÉPSZER Építő, Szerelő Korlátolt Felelősségű Társaság
MATCHED:     | 1609009760.xml | 7551 | Dry System Kft. | DRY SYSTEM Korlátolt Felelősségű Társaság
MATCHED:     | 109696330.xml | 1201 | Graviton Invest Kft. | GRAVITON INVEST Ingatlanfejlesztő Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109367658.xml | 7639 | DIAMANT Könyvvizsgáló, Gazdasági és Pénzügyi Tanácsadó Kft. | DIAMANT Könyvvizsgáló, Gazdasági és Pénzügyi Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 1309122647.xml | 4270 | GeoIQ Térinformatikai Kft. | GeoIQ Térinformatikai Korlátolt felelősségű társaság
MATCHED:     | 109074773.xml | 742 | Budai Malomipari Kft. | Budai Hengermalom Gabonaforgalmi és Malomipari Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 109565841.xml | 2166 | R+Öko-Bau Kft. | ÖKO-BAU Beruházási Fővállalkozó Tervező és Környezetvédelmi Korlátolt Felelősségű TársaságR+ ÖKO-BAU Beruházási Fővállalkozó Tervező és Környezetvédelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109368641.xml | 2873 | AND NOW Kft. | "AND NOW" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 809014015.xml | 621 | Kézimosó 2006 Kft. | Kézimosó 2006 Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 110042349.xml | 4630 | HUNGAROPHARMA Gyógyszerkereskedelmi Zártkörűen Működő Részvénytársaság | HUNGAROPHARMA Gyógyszerkereskedelmi Zártkörűen Működő Részvénytársaság
MATCHED:     | 109063867.xml | 7001 | Saubermacher - Magyarország Kft. | Saubermacher Magyarország Környezetvédelmi Szolgáltató Kft.
MATCHED:     | 2009062384.xml | 6480 | UTPLAN ’95 Építőipari és Szolgáltató Kft. | Utplan'95 Építőipari és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 106738860.xml | 3009 | Promote Consulting Bt. | Promote Consulting Szolgáltató Betéti Társaság
MATCHED:     | 109915088.xml | 5628 | ViaMap Térinformatikai Kft. | ViaMap Térinformatikai Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1009027286.xml | 6697 | BAFAG Kft. | BAFAG Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1302051115.xml | 3932 | ARRABONA TÉSZ Értékesítő Szövetkezet | ARRABONA TÉSZ Értékesítő Szövetkezet
MATCHED:     | 109926912.xml | 5968 | SZIKRA cool tour house Nonprofit Kft. | Szikra Cool Tour House Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 809016016.xml | 7178 | Scardobona Consulting Kft. | Scardobona Consulting Korlátolt Felelősségű Társaság
MATCHED:     | 1309127856.xml | 4018 | Stedra Kft. | STEDRA Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109957924.xml | 826 | Microsec Kft. | MICROSEC SOLUTIONS Korlátolt Felelősségű Társaság
MATCHED:     | 509008166.xml | 7190 | SEROL-BAU Kft. | SEROL-BAU Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1009020128.xml | 5645 | Eger kas Kft. | EGER "kas" Épületkarbantartó és Szigetelő Korlátolt Felelősségű Társaság
MATCHED:     | 109061282.xml | 7254 | Dagent Kft. | DAGENT Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109692752.xml | 1431 | Relativ Reklámügynökség Kft. | RELATIV Reklámügynökség Kommunikációs és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1509063277.xml | 2894 | Immoferr Kft. | "IMMOFERR" Ingatlanforgalmazó, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109876342.xml | 7371 | Építő 960 Építőipari és Szolgáltató Kft. | ÉPÍTŐ 960 Építőipari és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309084015.xml | 2228 | ASA Magyarország Kft. | A.S.A. Környezetvédelem és Hulladékgazdálkodás Magyarország Korlátolt Felelősségű Társaság
MATCHED:     | 1309088744.xml | 3909 | Roxer 2.0 Kft. | ROXER 2. 0 Reklám és Kommunikációs Ügynökség Korlátolt Felelősségű Társaság
MATCHED:     | 1506084939.xml | 3650 | Trader-Color Bt. | TRADER-COLOR Ipari, Kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 609014881.xml | 6751 | HPQ PLUS Kft. | HPQ PLUS Korlátolt Felelősségű Társaság
MATCHED:     | 109889233.xml | 5615 | GALAXA-TEAM Korlátolt Felelősségű Társaság | GALAXA-TEAM Korlátolt Felelősségű Társaság
MATCHED:     | 1309091417.xml | 7078 | BI-LOGIK Kft. | BI-LOGIK Biztosítóberendezési és Logikai Rendszereket Tervező, Kivitelező Korlátolt Felelősségű Társaság
MATCHED:     | 609000916.xml | 6049 | Mezőker Ipari és Kereskedelmi Kft. | "MEZŐKER" Ipari és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1309085930.xml | 2877 | Filmsziget Kft. | FILMSZIGET Művészeti Korlátolt Felelősségű Társaság
MATCHED:     | 110044040.xml | 1474 | Hung-Ister Zrt. | HUNG-ISTER Filmprodukció Zártkörűen Működő Részvénytársaság
MATCHED:     | 110041431.xml | 2891 | Equilor Rt. | EQUILOR Befektetési Zártkörűen Működő Részvénytársaság
MATCHED:     | 109064941.xml | 6098 | MEDIPLAN Kft. | MEDIPLAN Kórháztervező és Egészségügyi Fővállalkozó Kft.
MATCHED:     | 1509061279.xml | 154 | Bogát-Ferr Kft. | BOGÁT-FERR Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109903358.xml | 2552 | Wyvern Images Kft. | Wyvern Images Korlátolt Felelősségű Társaság "végelszámolás alatt"
MATCHED:     | 110044540.xml | 1663 | Procont Holding Rt. | PROCONT HOLDING Üzleti Tanácsadó zártkörűen működő részvénytársaság
MATCHED:     | 110042003.xml | 1158 | Inhold Rt. | InHold Pénzügyi Zártkörűen működő részvénytársaság
MATCHED:     | 110045171.xml | 570 | AKA Zrt. | AKA Alföld Koncessziós Autópálya Zártkörűen Működő Részvénytársaság
MATCHED:     | 509010751.xml | 4903 | Plex-Com-Medik Kft. | PLEX-COM-MEDIK Kereskedelmi, Orvostechnikai és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109070201.xml | 2526 | Hydea Tanácsadó Kft. | HYDEA Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 110042396.xml | 1445 | Hunga-Rus Rt. | Hunga-Rus Befektetési és Kereskedelmi Részvénytársaság
MATCHED:     | 109697932.xml | 5467 | FIZOKA Építőipari, Kereskedelmi és Szolgáltató Kft. | FIZOKA Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 106732763.xml | 7139 | Dr. Kroó Sándor és Társa Egészségügyi Szolgáltató Bt. | Dr. KROÓ és Társa Egészségügyi Szolgáltató Betéti TársaságDr. KROÓ SÁNDOR és Társa Egészségügyi Szolgáltató Betéti Társaság
MATCHED:     | 1809106800.xml | 2038 | Food and Pack Kft. | FOOD AND PACK Termelési, Kereskedelmi és Műszaki Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 1309077129.xml | 7581 | VEKTOR-BAU Építőipari Kft. | VEKTOR-BAU Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 2009067432.xml | 3412 | FH Invest Kft. | FH EURÓPA INVEST Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 809002936.xml | 5109 | HIDRO-PLAN Győriterv Mélyépítés Tervező Kft. | HIDRO-PLAN GYŐRITERV Mélyépítés Tervező Korlátolt Felelősségű Társaság
MATCHED:     | 1309106592.xml | 6911 | Tml Design Kft. | TML DESIGN Építőipari, Tervező és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 909002758.xml | 1197 | Debreceni Gyógyfürdő Kft. | Debreceni Gyógyfürdő Korlátolt Felelősségű Társaság
MATCHED:     | 1506091474.xml | 1972 | Bogát-Fém Bt. | BOGÁT-FÉM Termelő, Kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 309111944.xml | 2394 | Nav N Go Kft. | NAV N GO Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 509002030.xml | 20424 | T-CONTRACTOR Kereskedelmi, Vállalkozási és Kommunális Szolgáltató Korlátolt Felelősségű Társaság | T-CONTRACTOR Kereskedelmi,Vállalkozási és Kommunális Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109738803.xml | 7120 | VÁTI Városépítési Kft. | VÁTI Városépítési Tanácsadó és Tervező Iroda Korlátolt Felelősségű Társaság
MATCHED:     | 110044617.xml | 2773 | GDL General Document Line Rt. | GDL General Document Line Iratkezelő és Ügyvitelfejlesztő zártkörűen működő Részvénytársaság
MATCHED:     | 906010042.xml | 4871 | Medi-Korrekt Bt. | MEDI-KORREKT Kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 109561421.xml | 3447 | Access V Kft. | ACCESS V. Vagyonkezelő Korlátolt Felelősségű Társaság
MATCHED:     | 109718234.xml | 3326 | PannonTrans Kft. | PannonTrans Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109166916.xml | 3266 | Horváth Sport Kft. | HORVÁTH BAU TRADE Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 709013534.xml | 4828 | Artmed Kft. | ArtMed Alba Egészségügyi Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 110044002.xml | 250 | Elender Rt. | ELENDER Informatikai és Számítástechnikai Részvénytársaság
MATCHED:     | 110045069.xml | 372 | Develor Tanácsadó Rt. | DEVELOR Tanácsadó "Zártkörűen Működő" Részvénytársaság
MATCHED:     | 109261264.xml | 3935 | Izotóp Intézet Kft. | IZOTÓP INTÉZET Kutató, Fejlesztő, Termelő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 509014378.xml | 6174 | NORD-SZIG Kft. | NORD-SZIG Építőipari, Épületszigetelő és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1709002090.xml | 4812 | Szekszárdi Víz- és Csatornamű Kft. | Szekszárdi Víz- és Csatornamű Korlátolt Felelősségű Társaság
MATCHED:     | 114000674.xml | 22985 | FŐKEFE Rehabilitációs Foglalkoztató Ipari Közhasznú Társaság | FŐKEFE Rehabilitációs Foglalkoztató Ipari Közhasznú Társaság
MATCHED:     | 109914142.xml | 7391 | Hevestherm Kft. | HEVESTHERM HEVESI-HÚS Gyártó és Kereskedő Korlátolt Felelősségű Társaság
MATCHED:     | 709004143.xml | 755 | Gánt-Kő és Tőzeg Kft. | GÁNT-KŐ és TŐZEG Ásványanyagokat Feldolgozó, Növénytermesztési- és Kertészeti Termékeket Előállító, Értékesítő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109687800.xml | 2330 | IFS Hungary Kft. | IFS Hungary Számítástechnikai Korlátolt Felelősségű Társaság
MATCHED:     | 109685858.xml | 296 | Zöld Pardon Kft. | ZÖLD PARDON Vendéglátó és Kulturális Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110045772.xml | 173 | Hajdú-Bét Rt. | HAJDÚ-BÉT Baromfitermelő és Értékesítő zártkörűen működő Részvénytársaság "felszámolás alatt "
MATCHED:     | 109699670.xml | 1861 | WIGO Kft. | WIGO Ingatlanfejlesztő és Tanácsadó Korlátolt Felelősségű TársaságWIGO Ingatlanfejlesztő és Tanácsadó Korlátolt Felelősségű Társaság "felszámolás alatt "
MATCHED:     | 209065402.xml | 6307 | Munkás-Butykó Építőipari Szolgáltató Kft. | MUNKÁS - BUTYKÓ Építőipari és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109737077.xml | 7612 | Sperno Bau Kft. | SPERNO BAU Általános Mélyépítő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109952368.xml | 1275 | Zuglói Eszközkezelő Kft. | Zuglói Eszközkezelő Korlátolt Felelősségű Társaság
MATCHED:     | 1309068246.xml | 4440 | Sziget-Szilárd Út- és Közműépítő Kft. | "SZIGET-SZILÁRD" Út- és Közműépítő Ipari és Szolgáltató Kft
MATCHED:     | 109719246.xml | 2838 | E-Kontrol Kft. | E-Kontrol Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 2009061156.xml | 2954 | Corvette Kft. | "CORVETTE" Kereskedelmi Korlátolt Felelősségű Társaság felszámolás alatt
MATCHED:     | 709010993.xml | 1884 | Neosprint Kft. | NEOSPRINT Vagyonvédelmi Szolgáltató Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 909006560.xml | 6953 | V-Trade Kiállítások Kft. | "V-TRADE Kiállítások" Kiállításszervező és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109864467.xml | 2753 | Neobusz Magyarország Kft. | Neobusz Magyarország Közlekedési Korlátolt Felelősségű Társaság
MATCHED:     | 109368157.xml | 5455 | VÁRÉPKER Kft. | VÁRÉPKER Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109863542.xml | 3500 | Inspec Projekt Kft. | Inspec Projekt Ingatlanberuházó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1509065510.xml | 2170 | HP Team Ipari és Energetikai Szolgáltató Kft. | HP TEAM Ipari és energetikai Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1209005257.xml | 4919 | „Gabonás Pékség” Sütőipari Kft. | "GABONÁS PÉKSÉG" Sütőipari Korlátolt Felelősségű Társaság
MATCHED:     | 1609001793.xml | 2565 | Krasznai Consulting Kft. | KRASZNAI CONSULTING Könyvvizsgáló és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 109566151.xml | 1421 | OSSO Art Kft. | "OSSO" ART GALÉRIA és STÚDIÓ Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110045031.xml | 348 | Láng Holding Rt. | Láng Biztonságtechnológiai Holding Zrt.
MATCHED:     | 509001754.xml | 7361 | Masinter Kft. | MASINTER Épitésgépesítési, Szállítási és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109910974.xml | 4409 | Lápoldal Kft. | LÁPOLDAL Állattenyésztő és Növénytermelő Korlátolt Felelősségű Társaság
MATCHED:     | 1310040619.xml | 7008 | Gödöllői Építő Zrt. | Gödöllői Építő zártkörűen működő Részvénytársaság
MATCHED:     | 1309088373.xml | 6861 | Kovács Intarzia Kft. | KOVÁCS INTARZIA ASZTALOS ÉS ÉPITŐIPARI Korlátolt Felelősségű Társaság
MATCHED:     | 110043679.xml | 2122 | Eurohand Rt. | EUROHAND Kereskedelmi és Befektetési Zártkörűen Működő Részvénytársaság
MATCHED:     | 1809101393.xml | 18998 | Takép-2000 Kft. | "TAKÉP-2000" Korlátolt Felelősségű Társaság
MATCHED:     | 909013349.xml | 2404 | HQ-LAB Kft. | HQ-Lab Egészségügyi Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 609011579.xml | 2964 | Ligetfürdő Kft. | Ligetfürdő Ingatlanfejlesztő és Fürdőüzemeltető Korlátolt Felelősségű Társaság
MATCHED:     | 809005654.xml | 5914 | „KONSZEG Kereskedelmi és Szolgáltató Kft. | "KONSZEG" Kereskedelmi- és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109164844.xml | 5651 | Kharisz Kft. | KHARIS 2000 Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109884632.xml | 3606 | Terézvárosi Foglalkoztatást Elősegítő Nonprofit Kft. | Terézvárosi Foglalkoztatást Elősegítő Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 110045838.xml | 238 | MÁV Informatika Zrt. | MÁV INFORMATIKA Kereskedelmi, Szolgáltató és Tanácsadó Zártkörűen Működő Részvénytársaság
MATCHED:     | 110044076.xml | 5693 | Biolab Zrt. | BIOLAB Diagnosztikai Laboratórium Zártkörűen Működő Részvénytársaság
MATCHED:     | 109867204.xml | 22815 | SAYE Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság | SAYE Tanácsadó és Szolgáltató Kft.
MATCHED:     | 609005703.xml | 5604 | Á-Dent Kft. | Á-DENT Fogászati Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309061069.xml | 1873 | Dymol Kft. | "DYMOL" Vegyi, Ipari és Szolgáltató Korlátolt Fe- lelősségű Társaság
MATCHED:     | 209065905.xml | 624 | Pécs-Pogányi Repülőteret Működtető Kft. | "Pécs-pogányi repülőteret működtető Korlátolt Felelősségű Társaság
MATCHED:     | 109166541.xml | 6967 | Lézer Irodatechnika Kft. | LÉZER Irodatechnika Korlátolt Felelősségű Társaság
MATCHED:     | 509010339.xml | 4526 | Delta Hungária Építő Kft. | "DELTA Hungária Építő" Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110044325.xml | 368 | TVegy Rt. | TVegy Kultúrális és Műsorszolgáltató RészvénytársaságTVegy Kultúrális és Műsorszolgáltató Részvénytársaság "felszámolás alatt"
MATCHED:     | 110041829.xml | 4025 | Országos Villamostávvezeték Zrt. | Országos Villamostávvezeték Zártkörűen Működő Részvénytársaság
MATCHED:     | 1609004361.xml | 736 | Energott Kft. | ENERGOTT Fejlesztő és Vagyonkezelő Korlátolt Felelősségű Társaság
MATCHED:     | 109718642.xml | 6906 | Falkor Személy- és Vagyonvédelmi Kft. | FALKOR Személy- és Vagyonvédelmi Korlátolt Felelősségű Társaság
MATCHED:     | 110044960.xml | 134 | Synergon Rt. | Synergon Informatikai Rendszereket Tervező és Kivitelező Nyilvánosan Működő Részvénytársaság
MATCHED:     | 709004577.xml | 2707 | Hahót-Tőzeg Kft. | HAHÓT-TŐZEG Ásványianyagokat feldolgozó, Növénytermesztési- és kertészeti termékeket előállító, Értékesítő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109681313.xml | 20242 | K-E-S AUDIT Könyvvizsgáló, Könyvvezető és Adószakértő Kft. | K-E-S AUDIT Könyvvizsgáló, Könyvvezető és Adószakértő Korlátolt Felelősségű Társaság
MATCHED:     | 109724442.xml | 1880 | Európa Universitas Kft. | Európa Universitas Felsőoktatási pályázatfigyelő, Forráskutató és Fejlesztő Korlátolt Felelősségű Társaság
MATCHED:     | 110045813.xml | 156 | ITD Hungary Zrt. | ITD Hungary Nonprofit Közhasznú Zártkörűen Működő Részvénytársaság
MATCHED:     | 2009060476.xml | 336 | Dolomit Kft. | "DOLOMIT" Bányászati és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 509006122.xml | 4343 | Mónusz Kft. | MÓNUSZ Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 909016105.xml | 5861 | MAG PRAKTIKUM Gyakorlati Oktató, Szolgáltató és Innovációs Nonprofit Közhasznú Kft. | MAG PRAKTIKUM Gyakorlati Oktató, Szolgáltató és Innovációs Nonprofit Közhasznú Korlátolt Felelősségű Társaság
MATCHED:     | 1609005918.xml | 3708 | GLOBAL FOCUS Kft. | Global Focus 2000 Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság "felszámolás alatt "
MATCHED:     | 1509070204.xml | 1983 | Medical Invest Kft. | "INVEST SYSTEM MEDICAL" Ingatlanberuházó és Kereskedelmi, Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309103510.xml | 5501 | Lignifer Kft. | LIGNIFER Fémfeldolgozó, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110042154.xml | 3411 | Investtechnik Beruházásszervező Befektetői Rt. | INVESTTECHNIK Beruházásszervező Befektetői Részvénytársaság
MATCHED:     | 110043093.xml | 3397 | Terra-Danubia Rt. | TERRA-DANUBIA Ingatlanforgalmazó, Beruházó és Vagyonkezelő Zártkörűen Működő Részvénytársaság
MATCHED:     | 309103865.xml | 756 | Diamant International Malom Kft. | DIAMANT International Malom Korlátolt Felelősségű Társaság
MATCHED:     | 110041633.xml | 718 | Kopint-Datorg Rt. | KOPINT-DATORG Konjunktúra-, Piackutató és Számítástechnikai zártkörűen működő RészvénytársaságNemzeti Infokommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság
MATCHED:     | 1509061895.xml | 7601 | Bíró és Társa Tervező és Szolgáltató Kft. | "BÍRÓ ÉS TÁRSA" Tervező és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109720024.xml | 1660 | Kongsberg Hungária Kft. | KONGSBERG Hungária Mérnöki Szolgáltató, Fejlesztő, és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109889572.xml | 7295 | Envecon Környezetvédelmi és Projekttervező Kft. | ENVECON Környezetvédelmi és Projekttervező Korlátolt Felelősségű Társaság
MATCHED:     | 1509066370.xml | 4515 | Szalka-Sped KFT | SZALKA-SPED Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110040203.xml | 2739 | IBUSZ Rt. | "IBUSZ" Idegenforgalmi, Beszerzési, Utazási és Szállítási Nyilvánosan Működő Részvénytársaság
MATCHED:     | 1609000931.xml | 4529 | MAGTÁR termeltető Kereskedelmi Kft. | MAGTÁR Termeltető Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 909012017.xml | 7642 | StrateGIS Szolgáltató és Tanácsadó Kft. | StrateGIS Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 809004452.xml | 5477 | ÉPSZITEC Kft. | ÉPSZITEC Építőipari, Szigeteléstechnikai és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 110043793.xml | 7188 | Gesztelyi Építőipari Szolgáltató és Kereskedelmi Zrt. | GESZTELYI Építőipari, Szolgáltató és Kereskedelmi Zártkörűen Működő Részvénytársaság
MATCHED:     | 309107968.xml | 819 | Kisrókus 2000 Kft. | KISRÓKUS 2000 Ingatlanhasznósító Korlátolt Felelősségű Társaság
MATCHED:     | 209069431.xml | 1628 | Saye Kft. | SAYE Tanácsadó és Szolgáltató Kft.
MATCHED:     | 109728655.xml | 4887 | TorTer e-Design Kft. | TorTer e-Design Kiállítás-kivitelező és Díszletgyártó Korlátolt Felelősségű Társaság
MATCHED:     | 110046459.xml | 82 | Advenio Zrt. | ADVENIO Műsorszolgáltató Zártkörűen Működő Részvénytársaság
MATCHED:     | 1609010677.xml | 4401 | Aba-Novák Kulturális Központ Nonprofit és Közhasznú Kft. | Aba-Novák Kulturális Központ Nonprofit és Közhasznú Korlátolt Felelősségű Társaság
MATCHED:     | 109868199.xml | 7205 | Játszókert Kft. | Játszókert Építő, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 609002240.xml | 6372 | Szegedi Sütödék Kft. | SZEGEDI SÜTŐDÉK Élelmiszeripari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109064121.xml | 3149 | Futurecom Kft. | FUTURECOM Telekommunikációs és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1309106339.xml | 6495 | Keszi-Press Médiaszolgáltató Kft. | "KESZI-PRESS" Médiaszolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109731271.xml | 6486 | Hőáram-Kör Kft. | HŐÁRAM-KÖR Épületgépészeti és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109677464.xml | 500 | Eurometro Kft. | EUROMETRO Mérnöki Korlátolt Felelősségű Társaság
MATCHED:     | 110042609.xml | 4877 | NOX 2000 Beruházó és Fővállalkozó Zrt. | NOX Beruházó és Fővállalkozó Zártkörűen Működő Részvénytársaság
MATCHED:     | 909016936.xml | 7181 | Hajdúsági Szociális Szolgáltató Nonprofit Kft. | Hajdúsági Szociális Szolgáltató Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 109670827.xml | 6417 | MEDIMAT Kft. | MEDIMAT Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109078910.xml | 3151 | Wallis Kerepesi Kft. | Wallis Kerepesi úti Autó Kft
MATCHED:     | 509009056.xml | 5388 | Sajt-Kalmár Kft. | Sajt Kalmár Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 510000407.xml | 16475 | Matyó Agrártermelő Zrt. | Matyó Agrártermelő Zártkörűen Működő Részvénytársaság
MATCHED:     | 1506083287.xml | 3368 | School Kiadó Bt. | "SCHOOL" Oktató, Kiadó és Gazdasági Szolgáltató Betéti Társaság
